model,f1_markov_0.5,f1_markov_0.505,f1_markov_0.51,f1_markov_0.515,f1_markov_0.52,f1_markov_0.525,f1_markov_0.53,f1_markov_0.535,f1_markov_0.54,f1_markov_0.545,f1_markov_0.55,f1_markov_0.555,f1_markov_0.56,f1_markov_0.565,f1_markov_0.5700000000000001,f1_markov_0.575,f1_markov_0.58,f1_markov_0.585,f1_markov_0.59,f1_markov_0.595,f1_markov_0.6,f1_markov_0.605,f1_markov_0.61,f1_markov_0.615,f1_markov_0.62,f1_markov_0.625,f1_markov_0.63,f1_markov_0.635,f1_markov_0.64,f1_markov_0.645,f1_markov_0.65,f1_markov_0.655,f1_markov_0.66,f1_markov_0.665,f1_markov_0.67,f1_markov_0.675,f1_markov_0.6799999999999999,f1_markov_0.685,f1_markov_0.69,f1_markov_0.6950000000000001,f1_markov_0.7,f1_markov_0.7050000000000001,f1_markov_0.71,f1_markov_0.715,f1_markov_0.72,f1_markov_0.725,f1_markov_0.73,f1_markov_0.735,f1_markov_0.74,f1_markov_0.745,f1_markov_0.75,f1_markov_0.755,f1_markov_0.76,f1_markov_0.765,f1_markov_0.77,f1_markov_0.775,f1_markov_0.78,f1_markov_0.785,f1_markov_0.79,f1_markov_0.7949999999999999,f1_markov_0.8,f1_markov_0.8049999999999999,f1_markov_0.81,f1_markov_0.815,f1_markov_0.8200000000000001,f1_markov_0.825,f1_markov_0.8300000000000001,f1_markov_0.835,f1_markov_0.8400000000000001,f1_markov_0.845,f1_markov_0.8500000000000001,f1_markov_0.855,f1_markov_0.86,f1_markov_0.865,f1_markov_0.87,f1_markov_0.875,f1_markov_0.88,f1_markov_0.885,f1_markov_0.89,f1_markov_0.895,f1_markov_0.9,f1_markov_0.905,f1_markov_0.91,f1_markov_0.915,f1_markov_0.9199999999999999,f1_markov_0.925,f1_markov_0.9299999999999999,f1_markov_0.935,f1_markov_0.94,f1_markov_0.9450000000000001,f1_markov_0.95,f1_markov_0.9550000000000001,f1_markov_0.96,f1_markov_0.9650000000000001,f1_markov_0.97,f1_markov_0.9750000000000001,f1_markov_0.98,f1_markov_0.985,f1_markov_0.99,f1_markov_0.995
gpt-4,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368,0.9052631578947368
llama2_7b-chat,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8429752066115703,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8524590163934427,0.8455284552845529,0.8455284552845529,0.8455284552845529,0.8548387096774194,0.8548387096774194,0.8548387096774194,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.8640000000000001,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.8818897637795274,0.8750000000000001
mistral_7b-instruct,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.891566265060241,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.888888888888889,0.888888888888889
neural-chat_7b,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.9148936170212767,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.924731182795699,0.9130434782608695,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9438202247191012,0.9318181818181819,0.9318181818181819,0.9318181818181819,0.9318181818181819,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.9195402298850575
openchat_7b-v3.5,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8659793814432989,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
orca-mini_3b,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.8037383177570094,0.8037383177570094,0.8037383177570094,0.8037383177570094,0.8037383177570094,0.8037383177570094,0.8037383177570094,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.7962962962962964,0.8073394495412843,0.8073394495412843,0.8073394495412843,0.8073394495412843,0.8073394495412843,0.8073394495412843,0.8073394495412843,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
orca2_7b,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8547008547008548,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8448275862068965,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8521739130434782,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939,0.8495575221238939
stablelm-zephyr_3b,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8514851485148516,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8737864077669902,0.8737864077669902,0.8737864077669902,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8952380952380952,0.8867924528301887,0.8867924528301887,0.8867924528301887,0.8867924528301887,0.8867924528301887,0.8867924528301887
starling-lm_7b,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.853932584269663,0.853932584269663,0.853932584269663,0.853932584269663,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636
vicuna_7b,0.8846153846153846,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8761904761904762,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
zephyr_7b-beta,0.8505747126436782,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8192771084337348,0.8192771084337348,0.8192771084337348,0.8192771084337348,0.8192771084337348,0.8192771084337348,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8292682926829269,0.8148148148148148
